id_country,id_compound,toilet_fullclogged,privacy_wall,floor_holes,roof_solid,use_night,nightlight_rep,gender_separated,relationship,hh_cubicle_num,hh_cubicle,cleaning_arrangement,sharing,interface_rep,outflow_rep,D0,age_toilet,clean_comp,handwashing_obs,location,landlord_on_plot,bin_inside,tiling,visible_feces,insects_obs,solidwaste_obs,floor_obs,spotcheck,gender_respondent,gender_hh,hh_size,hhmember_rooms,B11_income_ppp,educ_hh,tenancy,electricity,water,lock,hh_cubicle_fct,cleanliness_rep,cleanliness_obs,cleanliness_cod
Bangladesh,1560,No,Solid,No,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Flush,Don't know,Flush to don't know where,>9 years / don't know,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,Tiling,No,Yes,Yes,Finished,Yes,Female,Male,5,2.5,1502.6702450254104,Tertiary,Owner,Yes,Improved on premises,Outside and inside,1,Very clean,Neither clean nor dirty,Very clean
Bangladesh,1561,No,Not solid,Yes,Solid,Yes,Yes,Private toilet,Only relatives,1,1,Not shared,Private,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Not clean,Facility with soap,Inside dwelling,landlord on plot,No bin inside cubicle,No tiling,No,Yes,No,Finished,Yes,Female,Male,6,3,1202.1361960203283,Tertiary,Tenant (informal),Yes,Improved on premises,Outside and inside,1,Clean,Neither clean nor dirty,Very clean
Bangladesh,1892,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,5,5,No,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Female,4,4,1352.4032205228693,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,5,Neither clean nor dirty,Neither clean nor dirty,NA
Bangladesh,1893,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,9,9,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,5,5,901.6021470152461,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,9,Clean,Neither clean nor dirty,NA
Bangladesh,1894,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,5,5,Yes,Shared,Pour-flush,Open drain,Pour flush to open drain,1-3 years,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,3,3,450.8010735076231,Tertiary,Tenant (informal),Yes,Improved on premises,Outside and inside,5,Clean,Neither clean nor dirty,NA
Bangladesh,1950,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,8,8,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,6,6,480.8544784081313,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,8,Clean,Neither clean nor dirty,Very clean
Bangladesh,1951,No,Solid,No,Solid,Yes,No,No,Other tenants/unknown,6,6,Yes,Shared,Pour-flush,Piped sewer system,Pour flush to piped sewer system,>9 years / don't know,Not clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,Yes,No,Yes,Finished,Yes,Female,Male,2,2,601.0680980101641,Primary,Owner,Yes,Improved on premises,Outside and inside,6,Clean,Neither clean nor dirty,Neither clean nor dirty
Bangladesh,1952,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,5,5,Yes,Shared,Pour-flush,Piped sewer system,Pour flush to piped sewer system,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord on plot,No bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,5,2.5,601.0680980101641,None,Owner,Yes,Improved on premises,Outside and inside,5,Clean,Neither clean nor dirty,Clean
Bangladesh,1953,No,Solid,No,Not solid,Yes,No,No,Other tenants/unknown,3,3,Yes,Shared,Pour-flush,Piped sewer system,Pour flush to piped sewer system,>9 years / don't know,Clean,No facility with soap,Inside compound/on plot,landlord not on plot,Bin inside cubicle,No tiling,No,No,No,Finished,Yes,Female,Male,5,2.5,450.8010735076231,Primary,Tenant (informal),Yes,Improved on premises,Outside and inside,3,Clean,Neither clean nor dirty,Clean
Bangladesh,1654,No,Solid,No,Solid,Yes,Yes,No,Other tenants/unknown,11,more than 10,Yes,Shared,Pour-flush,Don't know,Pour flush to don't know where,<1 Year,Not clean,No facility with soap,Inside compound/on plot,landlord not on plot,No bin inside cubicle,No tiling,Yes,No,Yes,Finished,Yes,Male,Male,5,5,270.48064410457386,None,Tenant (informal),Yes,Improved on premises,Outside and inside,more than 10,Clean,Neither clean nor dirty,Clean
